name            alpha            delta            par      s_par    Vr    svr  mu_x     s_mux   mu_y     s_muy   ref
G019.60-0.23    18 27 38.0737    -11 56 37.558    0.076    0.011    41    3    -3.11    0.16    -6.36    0.17    Xu et al. (2021ApJS..253....1X)
G020.08-0.13    18 28 10.2867    -11 28 47.892    0.066    0.010    41    3    -3.14    0.14    -6.44    0.16    Xu et al. (2021ApJS..253....1X)
G020.77-0.05    18 29 11.5819    -10 49 58.566    0.124    0.013    57    3    -3.27    0.26    -6.55    0.27    Xu et al. (2021ApJS..253....1X)
G026.50+0.28    18 38 40.7518    -05 35 05.108    0.159    0.012    104    3    -2.51    0.34    -6.04    0.34    Xu et al. (2021ApJS..253....1X)
G050.28-00.39    19 25 17.9310    15 12 24.720    0.140    0.018    17    3    -3.29    0.56    -5.52    0.37    Sakai et al. (2022PASJ...74..209S)
G053.14+00.07    19 29 17.4764    17 56 18.264    0.726    0.038    22    4    -1.27    1.08    -7.15    1.07    Sakai et al. (2022PASJ...74..209S)
G070.33+01.59    20 01 54.0627    33 34 14.485    0.074    0.037    -23    5    -2.82    0.29    -4.68    0.28    Sakai et al. (2022PASJ...74..209S)
G079.08+01.33    20 27 20.2734    40 42 34.648    0.118    0.035    -64    1    -2.49    0.14    -3.36    0.24    Sakai et al. (2022PASJ...74..209S)
